,team,year,month,pov,obp,slg,ba,ops,era,fb,inning,fb_inning,whip
0,1,2015,3,0.4,0.403,0.412,0.284,0.815,8.28,13.0,25.0,0.52,1.92
1,1,2015,4,0.318,0.29,0.295,0.208,0.584,5.52,129.0,195.2,0.661,1.79
2,1,2015,5,0.444,0.342,0.356,0.263,0.698,5.72,108.0,240.2,0.45,1.58
3,1,2015,6,0.435,0.353,0.456,0.29,0.81,5.93,85.0,202.0,0.421,1.68
4,1,2015,7,0.389,0.365,0.443,0.297,0.807,5.73,52.0,154.0,0.338,1.6
5,1,2015,8,0.4,0.378,0.499,0.311,0.877,5.41,103.0,224.2,0.459,1.61
6,1,2015,9,0.364,0.339,0.362,0.266,0.701,5.23,77.0,186.0,0.414,1.74
7,1,2015,10,0.333,0.313,0.369,0.255,0.682,2.79,10.0,38.2,0.262,1.19
8,1,2016,3,0.6,,,,,,,,,
9,1,2016,4,0.52,0.341,0.393,0.264,0.734,4.53,97.0,226.2,0.429,1.48
10,1,2016,5,0.364,0.37,0.424,0.296,0.794,5.9,100.0,215.0,0.465,1.62
11,1,2016,6,0.458,0.329,0.372,0.258,0.701,6.03,80.0,218.0,0.367,1.73
12,1,2016,7,0.6,0.339,0.37,0.268,0.709,7.14,100.0,174.0,0.575,1.87
13,1,2016,8,0.391,0.335,0.371,0.275,0.705,6.45,74.0,198.0,0.374,1.7
14,1,2016,9,0.391,0.358,0.436,0.293,0.793,6.22,90.0,198.1,0.454,1.79
15,1,2016,10,0.4,0.328,0.349,0.272,0.677,4.4,19.0,43.0,0.442,1.74
16,1,2017,3,0.727,0.297,0.4,0.257,0.697,2.0,0.0,9.0,0.0,0.89
17,1,2017,4,0.52,0.285,0.321,0.229,0.607,4.32,56.0,219.0,0.256,1.35
18,1,2017,5,0.385,0.346,0.429,0.287,0.775,5.75,74.0,227.0,0.326,1.55
19,1,2017,6,0.36,0.333,0.405,0.28,0.739,6.79,82.0,217.1,0.378,1.64
20,1,2017,7,0.316,0.329,0.365,0.253,0.694,6.28,68.0,162.0,0.42,1.67
21,1,2017,8,0.417,0.356,0.463,0.292,0.819,6.24,68.0,207.2,0.328,1.64
22,1,2017,9,0.571,0.33,0.451,0.292,0.781,5.68,73.0,187.0,0.39,1.59
23,1,2017,10,0.667,0.402,0.524,0.371,0.926,5.0,12.0,27.0,0.444,1.44
24,1,2018,3,0.615,0.355,0.546,0.313,0.901,6.49,17.0,61.0,0.279,1.62
25,1,2018,4,0.542,0.351,0.472,0.283,0.823,5.17,66.0,212.1,0.311,1.45
26,1,2018,5,0.292,0.339,0.431,0.274,0.77,4.8,52.0,212.0,0.245,1.51
27,1,2018,6,0.435,0.315,0.409,0.252,0.724,5.59,77.0,207.2,0.372,1.59
28,1,2018,7,0.65,0.351,0.503,0.288,0.854,5.45,63.0,190.0,0.332,1.59
29,1,2018,8,0.385,0.319,0.435,0.25,0.754,5.84,39.0,114.0,0.342,1.61
30,1,2018,9,0.318,0.352,0.447,0.279,0.799,5.61,83.0,205.1,0.405,1.71
31,1,2018,10,1.0,0.341,0.458,0.278,0.799,4.38,12.0,72.0,0.167,1.33
32,1,2019,3,0.154,0.353,0.381,0.282,0.734,4.65,28.0,69.2,0.405,1.32
33,1,2019,4,0.417,0.309,0.343,0.246,0.652,4.82,118.0,211.0,0.559,1.54
34,1,2019,5,0.692,0.355,0.391,0.283,0.746,5.12,83.0,228.1,0.364,1.53
35,1,2019,6,0.417,0.355,0.397,0.29,0.752,4.33,79.0,224.2,0.352,1.37
36,1,2019,7,0.556,0.361,0.406,0.299,0.767,4.46,48.0,161.1,0.298,1.38
37,1,2019,8,0.583,0.342,0.384,0.274,0.726,3.35,72.0,223.0,0.323,1.28
38,1,2019,9,0.556,0.334,0.396,0.272,0.731,3.4,53.0,159.0,0.333,1.28
39,1,2020,5,0.304,0.361,0.471,0.306,0.832,5.58,86.0,204.2,0.421,1.56
40,1,2020,6,0.44,0.347,0.425,0.272,0.772,5.53,80.0,219.2,0.365,1.49
41,1,2020,7,0.619,0.365,0.468,0.299,0.833,4.39,79.0,199.0,0.397,1.36
42,1,2020,8,0.696,0.343,0.389,0.248,0.732,3.43,92.0,207.1,0.444,1.44
43,1,2020,9,0.577,0.365,0.419,0.287,0.784,3.94,91.0,235.0,0.387,1.37
44,1,2020,10,0.52,0.364,0.445,0.288,0.809,4.53,95.0,224.2,0.424,1.51
45,1,2020,11,0.25,,,,,,,,,
46,1,2021,3,0.5,,,,,,,,,
47,1,2021,4,0.435,0.394,0.403,0.295,0.797,4.07,86.0,201.0,0.428,1.37
48,1,2021,5,0.545,0.356,0.382,0.256,0.738,4.4,107.0,198.1,0.54,1.56
49,1,2021,6,0.696,0.35,0.403,0.262,0.753,3.97,75.0,204.0,0.368,1.29
50,1,2021,7,0.714,0.318,0.361,0.242,0.679,4.57,19.0,61.0,0.311,1.31
51,1,2021,8,0.529,0.358,0.384,0.268,0.742,3.54,61.0,155.0,0.394,1.25
52,1,2021,9,0.545,0.34,0.362,0.256,0.702,2.82,66.0,229.2,0.288,1.15
53,1,2021,10,0.364,0.35,0.364,0.262,0.715,3.18,75.0,215.0,0.349,1.29
54,1,2021,11,1.0,,,,,,,,,
55,1,2022,3,0.625,,,,,,,,,
56,1,2022,4,0.5,0.318,0.339,0.244,0.657,3.51,43.0,213.0,0.202,1.22
57,1,2022,5,0.423,0.332,0.346,0.248,0.678,3.93,70.0,233.2,0.3,1.25
58,1,2022,6,0.714,0.326,0.394,0.251,0.721,2.91,41.0,102.0,0.402,1.24
59,2,2015,3,0.75,0.347,0.516,0.297,0.863,2.5,6.0,18.0,0.333,1.33
60,2,2015,4,0.636,0.361,0.445,0.281,0.806,4.84,107.0,201.0,0.532,1.5
61,2,2015,5,0.565,0.368,0.409,0.277,0.777,5.75,91.0,203.1,0.448,1.58
62,2,2015,6,0.565,0.367,0.425,0.301,0.792,4.46,78.0,203.2,0.384,1.4
63,2,2015,7,0.571,0.374,0.455,0.295,0.829,5.39,76.0,187.0,0.406,1.58
64,2,2015,8,0.625,0.369,0.418,0.29,0.787,3.96,93.0,216.0,0.431,1.42
65,2,2015,9,0.56,0.377,0.451,0.297,0.829,6.52,116.0,221.0,0.525,1.77
66,2,2015,10,0.667,0.398,0.422,0.266,0.819,2.0,17.0,36.0,0.472,1.19
67,2,2016,3,0.846,,,,,,,,,
68,2,2016,4,0.696,0.379,0.426,0.285,0.805,3.21,74.0,216.0,0.343,1.32
69,2,2016,5,0.64,0.401,0.538,0.33,0.938,5.28,95.0,223.1,0.426,1.64
70,2,2016,6,0.64,0.361,0.426,0.285,0.787,3.74,81.0,221.1,0.366,1.34
71,2,2016,7,0.476,0.355,0.446,0.286,0.801,5.78,83.0,187.0,0.444,1.51
72,2,2016,8,0.417,0.384,0.506,0.302,0.89,4.4,82.0,217.0,0.378,1.48
73,2,2016,9,0.591,0.381,0.488,0.296,0.869,4.34,71.0,195.0,0.364,1.44
74,2,2016,10,1.0,0.388,0.491,0.307,0.879,5.79,12.0,28.0,0.429,1.79
75,2,2016,11,1.0,,,,,,,,,
76,2,2017,3,0.545,0.242,0.185,0.148,0.428,0.0,3.0,9.0,0.333,0.78
77,2,2017,4,0.417,0.354,0.386,0.272,0.74,4.62,100.0,228.0,0.439,1.54
78,2,2017,5,0.522,0.383,0.458,0.299,0.841,3.53,68.0,206.1,0.33,1.32
79,2,2017,6,0.56,0.375,0.499,0.304,0.874,6.35,88.0,222.2,0.396,1.73
80,2,2017,7,0.737,0.367,0.512,0.311,0.879,4.2,63.0,180.0,0.35,1.31
81,2,2017,8,0.538,0.368,0.46,0.297,0.827,3.63,75.0,238.0,0.315,1.37
82,2,2017,9,0.476,0.376,0.466,0.292,0.842,4.16,61.0,186.0,0.328,1.46
83,2,2017,10,0.273,0.351,0.379,0.242,0.729,3.0,6.0,18.0,0.333,1.28
84,2,2018,3,0.615,0.34,0.412,0.261,0.751,4.94,23.0,62.0,0.371,1.42
85,2,2018,4,0.652,0.364,0.467,0.293,0.831,4.81,80.0,205.2,0.39,1.5
86,2,2018,5,0.522,0.347,0.457,0.294,0.804,4.55,82.0,209.2,0.392,1.35
87,2,2018,6,0.615,0.396,0.547,0.332,0.943,4.64,84.0,232.2,0.362,1.41
88,2,2018,7,0.714,0.383,0.509,0.326,0.892,5.87,63.0,187.0,0.337,1.59
89,2,2018,8,0.615,0.374,0.451,0.301,0.825,6.16,41.0,114.0,0.36,1.62
90,2,2018,9,0.625,0.393,0.505,0.314,0.898,4.99,82.0,212.2,0.386,1.44
91,2,2018,10,0.571,0.384,0.423,0.316,0.807,3.88,21.0,65.0,0.323,1.29
92,2,2018,11,0.333,,,,,,,,,
93,2,2019,3,0.533,0.349,0.357,0.246,0.707,3.21,28.0,73.0,0.384,1.32
94,2,2019,4,0.542,0.372,0.438,0.284,0.809,3.24,58.0,211.0,0.275,1.27
95,2,2019,5,0.577,0.355,0.383,0.272,0.738,2.65,71.0,234.1,0.303,1.24
96,2,2019,6,0.56,0.354,0.354,0.271,0.708,4.67,97.0,218.0,0.445,1.5
97,2,2019,7,0.471,0.328,0.375,0.261,0.704,3.65,45.0,153.0,0.294,1.28
98,2,2019,8,0.667,0.37,0.442,0.302,0.813,3.65,55.0,212.0,0.259,1.2
99,2,2019,9,0.667,0.34,0.337,0.276,0.678,3.32,24.0,173.1,0.139,1.1
100,2,2019,10,0.8,0.39,0.45,0.375,0.84,5.0,2.0,9.0,0.222,2.11
101,2,2020,5,0.609,0.361,0.444,0.299,0.805,5.67,90.0,211.0,0.427,1.64
102,2,2020,6,0.48,0.367,0.447,0.29,0.813,4.82,72.0,218.2,0.33,1.47
103,2,2020,7,0.565,0.375,0.444,0.313,0.82,4.66,71.0,203.0,0.35,1.46
104,2,2020,8,0.409,0.369,0.422,0.298,0.791,4.03,96.0,223.1,0.43,1.53
105,2,2020,9,0.5,0.333,0.354,0.248,0.687,4.01,81.0,224.1,0.361,1.38
106,2,2020,10,0.652,0.389,0.453,0.31,0.841,3.22,67.0,204.1,0.328,1.25
107,2,2020,11,0.583,,,,,,,,,
108,2,2021,3,0.5,,,,,,,,,
109,2,2021,4,0.565,0.371,0.403,0.289,0.774,4.0,89.0,202.1,0.44,1.53
110,2,2021,5,0.545,0.365,0.396,0.274,0.761,4.07,99.0,199.0,0.497,1.6
111,2,2021,6,0.32,0.34,0.396,0.263,0.737,4.87,98.0,221.2,0.443,1.51
112,2,2021,7,0.2,0.374,0.431,0.282,0.805,5.44,13.0,43.0,0.302,1.44
113,2,2021,8,0.357,0.321,0.396,0.254,0.716,5.35,74.0,136.1,0.544,1.51
114,2,2021,9,0.708,0.349,0.407,0.272,0.756,3.29,99.0,238.0,0.416,1.35
115,2,2021,10,0.565,0.341,0.339,0.251,0.68,4.21,115.0,229.0,0.502,1.45
116,2,2021,11,0.182,,,,,,,,,
117,2,2022,3,0.111,,,,,,,,,
118,2,2022,4,0.542,0.315,0.317,0.243,0.632,3.46,92.0,218.2,0.422,1.32
119,2,2022,5,0.333,0.339,0.359,0.259,0.698,4.12,101.0,225.0,0.449,1.43
120,2,2022,6,0.25,0.349,0.441,0.278,0.791,5.79,36.0,87.0,0.414,1.63
121,3,2015,3,0.467,0.379,0.469,0.319,0.848,4.67,14.0,27.0,0.519,1.3
122,3,2015,4,0.652,0.353,0.468,0.271,0.821,3.61,57.0,204.2,0.279,1.22
123,3,2015,5,0.52,0.375,0.437,0.287,0.812,4.01,65.0,220.0,0.295,1.27
124,3,2015,6,0.429,0.367,0.489,0.312,0.856,5.06,63.0,185.0,0.341,1.36
125,3,2015,7,0.476,0.387,0.489,0.325,0.877,5.31,71.0,188.0,0.378,1.51
126,3,2015,8,0.5,0.393,0.457,0.304,0.85,5.48,82.0,216.2,0.379,1.57
127,3,2015,9,0.542,0.386,0.49,0.311,0.876,5.16,66.0,206.0,0.32,1.39
128,3,2015,10,0.625,0.416,0.363,0.294,0.779,2.25,5.0,28.0,0.179,0.79
129,3,2016,3,0.688,,,,,,,,,
130,3,2016,4,0.478,0.354,0.393,0.273,0.746,5.33,80.0,201.0,0.398,1.53
131,3,2016,5,0.5,0.387,0.454,0.304,0.841,5.66,99.0,232.0,0.427,1.59
132,3,2016,6,0.385,0.349,0.424,0.277,0.773,6.18,97.0,233.0,0.416,1.67
133,3,2016,7,0.412,0.37,0.44,0.288,0.81,4.9,64.0,165.1,0.388,1.46
134,3,2016,8,0.391,0.379,0.478,0.321,0.857,5.82,76.0,201.0,0.378,1.59
135,3,2016,9,0.609,0.369,0.453,0.3,0.822,5.99,89.0,206.0,0.432,1.62
136,3,2016,10,0.6,0.34,0.383,0.263,0.724,4.5,13.0,44.0,0.295,1.5
137,3,2017,3,0.167,0.25,0.452,0.226,0.702,6.0,8.0,9.0,0.889,1.67
138,3,2017,4,0.304,0.321,0.377,0.26,0.697,5.87,92.0,222.1,0.414,1.54
139,3,2017,5,0.6,0.319,0.412,0.25,0.731,6.24,110.0,222.0,0.495,1.73
140,3,2017,6,0.6,0.343,0.446,0.286,0.789,5.84,93.0,231.0,0.403,1.61
141,3,2017,7,0.524,0.344,0.421,0.279,0.764,4.85,68.0,195.0,0.349,1.48
142,3,2017,8,0.417,0.367,0.444,0.306,0.811,6.26,88.0,211.1,0.417,1.69
143,3,2017,9,0.333,0.343,0.468,0.291,0.81,6.36,85.0,172.2,0.494,1.75
144,3,2017,10,0.0,0.386,0.514,0.306,0.899,5.5,4.0,18.0,0.222,1.61
145,3,2018,3,0.385,0.314,0.344,0.252,0.658,6.57,28.0,63.0,0.444,1.62
146,3,2018,4,0.333,0.351,0.407,0.277,0.759,4.96,69.0,216.0,0.319,1.47
147,3,2018,5,0.6,0.36,0.457,0.303,0.818,4.75,69.0,223.2,0.309,1.52
148,3,2018,6,0.458,0.354,0.424,0.283,0.778,6.76,84.0,214.1,0.392,1.61
149,3,2018,7,0.7,0.361,0.434,0.302,0.796,3.4,57.0,201.1,0.283,1.36
150,3,2018,8,0.385,0.358,0.437,0.285,0.796,6.16,39.0,114.0,0.342,1.59
151,3,2018,9,0.522,0.345,0.427,0.275,0.773,5.28,84.0,218.0,0.385,1.42
152,3,2018,10,0.25,0.427,0.625,0.362,1.052,4.89,11.0,35.0,0.314,1.4
153,3,2019,3,0.188,0.366,0.468,0.268,0.834,5.27,29.0,70.0,0.414,1.4
154,3,2019,4,0.318,0.332,0.384,0.262,0.716,4.15,81.0,199.1,0.407,1.36
155,3,2019,5,0.577,0.34,0.393,0.27,0.733,4.29,88.0,231.0,0.381,1.41
156,3,2019,6,0.458,0.341,0.437,0.276,0.778,4.8,87.0,213.2,0.408,1.5
157,3,2019,7,0.444,0.332,0.406,0.257,0.737,4.2,71.0,165.0,0.43,1.49
158,3,2019,8,0.364,0.305,0.311,0.225,0.616,5.9,95.0,195.1,0.487,1.61
159,3,2019,9,0.348,0.306,0.368,0.235,0.674,4.3,72.0,201.0,0.358,1.39
160,3,2020,5,0.667,0.328,0.393,0.251,0.721,4.69,91.0,211.0,0.431,1.48
161,3,2020,6,0.48,0.331,0.399,0.267,0.731,3.95,88.0,219.0,0.402,1.38
162,3,2020,7,0.545,0.375,0.433,0.298,0.808,5.04,81.0,196.1,0.413,1.47
163,3,2020,8,0.435,0.322,0.367,0.26,0.689,5.26,100.0,207.0,0.483,1.54
164,3,2020,9,0.5,0.339,0.393,0.275,0.733,5.97,90.0,220.0,0.409,1.6
165,3,2020,10,0.524,0.332,0.379,0.256,0.711,3.82,92.0,219.0,0.42,1.37
166,3,2021,3,0.25,,,,,,,,,
167,3,2021,4,0.625,0.358,0.408,0.273,0.766,3.64,86.0,210.0,0.41,1.36
168,3,2021,5,0.565,0.347,0.425,0.279,0.772,5.13,90.0,203.2,0.443,1.6
169,3,2021,6,0.6,0.342,0.404,0.272,0.746,4.24,121.0,227.1,0.533,1.54
170,3,2021,7,0.714,0.357,0.455,0.289,0.811,3.19,24.0,62.0,0.387,1.29
171,3,2021,8,0.4,0.338,0.335,0.246,0.673,4.5,54.0,146.0,0.37,1.34
172,3,2021,9,0.619,0.347,0.433,0.27,0.78,4.38,86.0,230.0,0.374,1.46
173,3,2021,10,0.429,0.322,0.343,0.246,0.664,4.3,69.0,180.0,0.383,1.42
174,3,2021,11,0.5,,,,,,,,,
175,3,2022,3,0.6,,,,,,,,,
176,3,2022,4,0.4,0.306,0.331,0.239,0.637,3.84,72.0,218.0,0.33,1.37
177,3,2022,5,0.6,0.336,0.398,0.276,0.735,3.7,89.0,226.0,0.394,1.37
178,3,2022,6,0.625,0.318,0.366,0.268,0.684,4.26,35.0,95.0,0.368,1.48
179,4,2015,3,0.2,0.362,0.404,0.298,0.766,6.46,14.0,23.2,0.603,1.73
180,4,2015,4,0.565,0.356,0.384,0.259,0.74,4.24,79.0,206.0,0.383,1.38
181,4,2015,5,0.4,0.324,0.389,0.252,0.713,5.61,94.0,231.0,0.407,1.56
182,4,2015,6,0.435,0.35,0.428,0.277,0.777,3.81,66.0,205.1,0.322,1.34
183,4,2015,7,0.526,0.309,0.357,0.244,0.666,5.1,65.0,169.1,0.384,1.43
184,4,2015,8,0.44,0.322,0.386,0.266,0.707,4.52,80.0,223.0,0.359,1.4
185,4,2015,9,0.45,0.37,0.445,0.307,0.815,4.52,79.0,185.1,0.427,1.48
186,4,2015,10,0.5,0.345,0.394,0.314,0.739,3.5,13.0,36.0,0.361,1.42
187,4,2016,3,0.467,,,,,,,,,
188,4,2016,4,0.545,0.341,0.395,0.258,0.736,5.03,81.0,198.2,0.409,1.53
189,4,2016,5,0.455,0.354,0.406,0.281,0.76,5.4,100.0,205.0,0.488,1.62
190,4,2016,6,0.44,0.373,0.416,0.308,0.789,5.16,89.0,225.0,0.396,1.49
191,4,2016,7,0.364,0.373,0.429,0.291,0.803,6.26,86.0,194.0,0.443,1.62
192,4,2016,8,0.654,0.355,0.432,0.3,0.787,5.14,91.0,231.0,0.394,1.54
193,4,2016,9,0.6,0.377,0.438,0.307,0.815,3.55,69.0,190.0,0.363,1.33
194,4,2016,10,0.4,0.332,0.348,0.241,0.68,4.91,23.0,44.0,0.523,1.64
195,4,2017,3,0.455,0.206,0.226,0.129,0.432,1.0,4.0,9.0,0.444,1.0
196,4,2017,4,0.52,0.347,0.386,0.286,0.733,3.04,64.0,219.0,0.292,1.19
197,4,2017,5,0.417,0.345,0.374,0.278,0.719,3.78,66.0,212.0,0.311,1.26
